INT	int
ID	as
OP_ATRIB	=
NUM_INT	4
OP_SOMA_REC	+=
NUM_INT	6
MAIOR	>
ID	av
MAIOR_IGUAL	>=
ID	as
ID	id1
E	&&
ID	id2
ENDERECO	&
ID	id3
COMP_DIF	!=
ID	bas
NUM_INT	6
OP_NOT	!
NUM_INT	5
NUM_REAL	5.425
OP_NOT	!
STRING	"oi"
OP_NOT	!
CHAR	'o'
OP_NOT	!
OP_DIV	/
ID	a
OP_INC	++
ID	bas
OP_SOMA_REC	+=
ID	a
OP_DEC	--
ID	a
OP_SUB	-
ID	b
SETA	->
ID	bas
OP_MULT_REC	*=
ID	bas
OP_MULT	*
ID	a
OP_MULT	*
OP_RESTO	%
ID	as
OP_RESTO_REC	%=
OP_RESTO_REC	%=
ID	as
OP_DIV	/
ID	a
OP_DIV_REC	/=
ID	a
OP_DIV	/
ID	A
NUM_INT	3
OP_NOT	!
COMP_IGUAL	==
OP_ATRIB	=
ENDERECO	&
ID	id2
COMP_DIF	!=
